0.92739,0.08855,0.11219,0.00906,0.05351,0.06553,0.11274,0.02034,0.04595,0.07235,0.10819,-0.00782,0.06509,0.06509,0.10789,-0.00777,0.06440,0.06440,0.81381,0.10369,0.13341,0.00713,0.07358,0.08232,0.14415,0.01277,0.07095,0.08714,0.12067,-0.01194,0.08481,0.08481,0.12411,-0.01424,0.08656,0.08656
0.08855,0.02955,0.01857,0.00131,0.01435,0.01609,0.01846,0.00252,0.01343,0.01680,0.01748,-0.00276,0.01684,0.01684,0.01741,-0.00258,0.01668,0.01668,0.05549,0.02334,0.01447,0.00015,0.01241,0.01254,0.01436,0.00092,0.01179,0.01298,0.01305,-0.00209,0.01332,0.01332,0.01308,-0.00216,0.01337,0.01337
0.11219,0.01857,0.01914,0.00102,0.01082,0.01217,0.01803,0.00389,0.00845,0.01364,0.01722,-0.00161,0.01210,0.01210,0.01719,-0.00146,0.01195,0.01195,0.08954,0.01773,0.01861,0.00026,0.01168,0.01192,0.01871,0.00268,0.00979,0.01334,0.01606,-0.00181,0.01239,0.01239,0.01640,-0.00181,0.01241,0.01241
0.00906,0.00131,0.00102,0.00180,-0.00069,0.00182,0.00195,-0.00093,0.00160,0.00029,0.00121,0.00025,0.00052,0.00052,0.00113,0.00025,0.00050,0.00050,0.01192,0.00215,0.00166,0.00167,0.00011,0.00242,0.00281,-0.00090,0.00232,0.00102,0.00166,-0.00006,0.00139,0.00139,0.00165,0.00007,0.00128,0.00128
0.05351,0.01435,0.01082,-0.00069,0.00896,0.00792,0.00977,0.00255,0.00624,0.00969,0.00961,-0.00173,0.00922,0.00922,0.00962,-0.00161,0.00911,0.00911,0.02917,0.01089,0.00832,-0.00126,0.00756,0.00574,0.00749,0.00154,0.00522,0.00731,0.00702,-0.00120,0.00695,0.00695,0.00710,-0.00133,0.00705,0.00705
0.06553,0.01609,0.01217,0.00182,0.00792,0.01041,0.01244,0.00124,0.00845,0.01003,0.01123,-0.00139,0.00989,0.00989,0.01114,-0.00125,0.00975,0.00975,0.04509,0.01379,0.01048,0.00107,0.00761,0.00904,0.01126,0.00025,0.00840,0.00863,0.00922,-0.00128,0.00881,0.00881,0.00928,-0.00124,0.00876,0.00876
0.11274,0.01846,0.01803,0.00195,0.00977,0.01244,0.01879,0.00289,0.00941,0.01318,0.01687,-0.00141,0.01184,0.01184,0.01683,-0.00139,0.01176,0.01176,0.09306,0.01797,0.01818,0.00154,0.01077,0.01280,0.01958,0.00136,0.01125,0.01296,0.01604,-0.00165,0.01247,0.01247,0.01632,-0.00183,0.01260,0.01260
0.02034,0.00252,0.00389,-0.00093,0.00255,0.00124,0.00289,0.00219,-0.00003,0.00300,0.00333,-0.00022,0.00186,0.00186,0.00342,-0.00029,0.00193,0.00193,0.01321,0.00274,0.00361,-0.00115,0.00280,0.00118,0.00260,0.00183,0.00034,0.00287,0.00294,-0.00035,0.00203,0.00203,0.00312,-0.00048,0.00216,0.00216
0.04595,0.01343,0.00845,0.00160,0.00624,0.00845,0.00941,-0.00003,0.00778,0.00762,0.00804,-0.00136,0.00821,0.00821,0.00793,-0.00121,0.00804,0.00804,0.02960,0.01051,0.00686,0.00118,0.00531,0.00691,0.00793,-0.00082,0.00710,0.00588,0.00618,-0.00098,0.00655,0.00655,0.00610,-0.00094,0.00648,0.00648
0.07235,0.01680,0.01364,0.00029,0.00969,0.01003,0.01318,0.00300,0.00762,0.01165,0.01247,-0.00165,0.01065,0.01065,0.01246,-0.00157,0.01058,0.01058,0.04675,0.01420,0.01165,-0.00043,0.00910,0.00843,0.01128,0.00172,0.00743,0.00973,0.01006,-0.00144,0.00923,0.00923,0.01022,-0.00157,0.00933,0.00933
